APPLICANT_ID,EXAMPLE_CD,ESSAY_TXT,SCRIPT_LEN
D10248,PUB01-202504-Q1,"끊임없이 현재를 점검하고, 어려움을 마주쳐도 새롭고 악착스럽게 목표를 완수합니다.
IT 업계의 엔지니어가 되기 위해 군 간부 시절부터 취업자 교육, 세미나 등 여러 방법을 통해 업계 지식을 쌓았습니다. 전역 후 취업반을 통해 IT 업계를 위한 기반을 다졌고, 메가존에 입사하여 Cloud 환경 및 서버 개발에 입문했습니다. 틈틈이 취업자 교육을 통해 엔지니어가 되기 위해 노력했습니다.
마침내 미라콤아이앤씨 개발직군으로 채용되었고, 선배님들과 동료의 도움을 받아 3년간 Java, C#, SQL 등 프로그래밍에 필요한 기술을 향상시켰습니다. 1년마다 다양한 시스템을 개발 및 운영했고, BI 시스템인 STAR를 통해 프로그래밍 기술 뿐만 아니라 데이터 분석에 대한 인사이트를 얻었습니다. 이 때, 적성에 대해 더욱 고민하게 되었고 데이터 과학에 눈을 뜨며 더욱 성장할 수 있는 계기를 마련했습니다. 대시보드나 비정형 레포트를 만드는 업무를 넘어, 직접 분석을 진행하고 싶었습니다. 데이터 과학과 프로그래밍을 병행하며 부족한 점을 점검하고, 업무를 충실히 수행하고자 역량을 투자하며 성장해나갔습니다. 과정이 쉽지 않았으나, 꾸준한 노력과 협업을 통해 나아갔습니다.
대학원에 진학 후에도 데이터 사이언티스트가 되기 위한 노력은 계속되었습니다. 연구와 프로젝트를 위해 모든 역량을 집중했고, 독학할 때와는 전혀 다른 지식을 접하며 성장해나갔습니다. 독학의 한계로 인해 수업과 연구는 꽤 어려운 과업으로 다가왔지만 학업, 취업, 건강한 삶을 비롯한 모든 것을 성공시키리라는 다짐을 끊임없이 되뇌이며 정면으로 맞섰습니다. 비록 많은 시행착오가 있었지만, 항상 그래왔듯 끈기와 협력으로 연구의 성과를 내며 데이터 연구자가 되었습니다. 
끊임없는 노력, 주변과의 소통과 협업을 통해 지속적으로 성장해왔고, 앞으로도 즐거운 협업과 성취를 위해 노력하고자 이 자리에 섰습니다. 맡은 업무에 진지하게 임하는 자세는 향후 일터에서도 좋은 영향력으로서 주변 모두에게 상쾌한 바람이 될 수 있으리라 확신합니다.",1000
D10248,PUB01-202504-Q2,"끊임없이 현재를 점검하고, 어려움을 마주쳐도 유쾌하게 목표를 완수합니다.
IT 엔지니어가 되기 위해 군 시절부터 취업자 교육, 세미나 등을 통해 업계 지식을 쌓았습니다. 전역 후에도 클라우드 및 서버 개발에 입문하고, 개발직군에서는 선배님들과 동료의 도움을 받아 3년간 자바, C#, DB 등 업무 기술을 향상시켰습니다. 
1년마다 다양한 시스템을 경험했고, BI 시스템을 통해 실무 기술 뿐만 아니라 데이터 분석에 대한 지혜를 얻었습니다. 이 때, 진로와 적성에 대해 더욱 고민하게 되었고 데이터 과학에 눈을 뜨며 더욱 진보할 수 있는 동기를 얻었습니다. 대시보드나 레포트를 만들뿐 아니라 직접 분석을 해보고 싶었기에, 데이터 과학에 역량을 투자했습니다. 과정이 쉽지 않았으나, 꾸준한 노력과 협업을 통해 나아갔습니다.
대학원 진학 후에도 데이터 과학을 향한 열정은 지속되었습니다. 독학할 때와 상이한 지식을 요하는 수업, 프로젝트와 연구가 제법 어려운 과업으로 다가왔지만 학업, 취업, 건전한 삶을 비롯한 모든 것을 성공시킨다는 일념으로 정진했습니다. 많은 시행착오가 있었지만, 항상 그랬듯 끈기와 협력으로 연구의 성과를 내며 데이터 연구자가 되었습니다. 
IT 연구자에게는 꾸준함이 생명이라는 이야기를 들었습니다. 매너리즘에 빠지지 않으려면, 자신을 지속적으로 시험하고 개선시켜야만 합니다. 끊임없는 노력, 주변과의 협업을 통해 지속적으로 성장해",700
D10248,PUB01-202504-Q3,"최근 겪었던 가장 큰 변화는 대학원 진학과 그 이후 겪은 데이터 과학자로 성장하는 과정이었습니다.
프로그래머 업무 수행 중, 삼성전자의 BI 시스템인 STAR의 운영 및 개발 업무를 담당했습니다. 단순히 DB 내 데이터를 정제하고, 웹 페이지를 통해 비정형 레포트와 대시보드를 제공하던 수준에서, 고객이 바라는 정보를 선제적으로 판단하는 수준이 요구되었습니다. 이는 데이터마이닝을 시작하는 계기가 되었고, 빅데이터 분야에 흥미와 적성을 느꼈습니다. 
하지만, 3년에 달하는 프로그래밍 경력이 있었기에 분야를 옮기는 것은 두려움으로 다가왔습니다. 이를 이겨내기 위해 프로그래밍에 대한 회고, 인공지능에 대한 독학을 하며 미래의 본업을 선택하는 과정을 겪었습니다.
대학원 진학 후, 수준 높은 지식을 요하는 수업과 연구로 인해, 괴리감을 느꼈습니다. 하지만, 꾸준히 시간을 투자하여 기술을 쌓고 역량을 키워올렸고, 그럼에도 부족하다는 생각이 들 때는 동료와 교수님의 조언을 구했습니다. 어느덧, 누군가와 협업할 수 있는 수준에 닿았고, 연구를 완성시켜 석사 학위라는 성과를 얻었습니다.
새로운 변화에 대처하는 방법은 다양합니다. 어떤 이들은 효율적으로 문제를 개선할 수 있지만, 제게는 항상 꾸준한 노력과 주변과의 협력이 가장 좋은 답으로서 다가왔습니다. 앞으로 한화에어로스페이스에서 비슷한 문제와 변화를 마주하더라도, 이제까지 그래왔듯 끈기와 소통을 통",700
D10248,PUB01-202504-Q4,"어려움을 마주쳐도 차분히 자신의 부족함을 객관적으로 살피고, 새로운 방식으로 목표를 완수합니다.
대학교 재학 당시, 학교 내 통상적으로 수행되는 졸업 프로젝트는 ARM Processer나 MSP 기반의 Microcontroller 과제가 주를 이루고 있었습니다. 평소 로봇공학이나 Embaded에 관심이 깊어, 서울 내 다른 학교의 Raspberry pi 프로젝트를 보고, 과제를 색다른 방식으로 수행하고 싶다는 생각을 했습니다. 기존 Chipset에 비해 접근성이 좋기에, 결과물의 독창성과 개인적인 흥미에 더욱 집중할 수 있을 것으로 기대되었습니다. 하지만 학과 내에 전해져 내려오는 기술을 사용하지 않는다는 점에서 조원들은 거부감을 표했고, MSP 기반의 Embaded 과제를 수행하게 되었습니다.
하지만 포기하지 않고, 여러 학술 연구와 졸업작품 사례를 조사하며 실험을 구상했습니다. 학과 내 칩셋 구성이 아닌, 다른 대학 사례를 보며 Raspberry pi와 파이썬 기반의 다중 센서 RC카를 구상했습니다. 구상 초반에도 조원들은 검증되지 않은 방식과 새로운 기술에 거부감을 표했지만, 시간이 지나 독학으로 반 이상 완성한 RC카를 조원들에게 보여주며 설득했습니다. 적지 않은 시간동안 진척이 되지 않은 MSP 프로젝트보다 다양한 기능을 탑재하며 성장하는 Raspberry pi 프로젝트는 팀원들을 설득하기에 충분했습니다. 동료들이 선택을 주",700
D10248,PUB01-202504-Q5,"벅차도록 높아보이는 목표를 향해 한걸음 한걸음 나아간 적이 있습니까?
장교 후보생 시절, 동기들에게는 가능하지만 저에겐 불가능하다 평가받던 임관을 위해 끈질기게 노력했습니다. 체중 120 Kg에 무른 성격이라는, 장교라는 이름과 맞지 않는 이미지를 갖고 있었습니다. 동기들과 교관들은 이러한 이미지를 좋아하지 않았고, 해내지 못할 것이라 여겼습니다. 체력적으로 결점을 보여 임관에 어려움이 따랐고, 단장님은 군인 생활이 맞지 않으니 포기를 권하기도 했습니다.
남의 이야기에 자신을 맞추고 싶지 않았기에, 포기하지 않았습니다. 임관뿐만 아닌, 자신에 대한 혁신과 변화를 목표로 두었습니다. 훈련을 개근하고, 밤을 새워 공부를 했습니다. 끊임없는 노력을 결과로, 임관에 성공했습니다. 그와 더불어, 마음 속에는 “나도 무엇이든 할 수 있다.”는 확신을 가질 수 있었습니다.
이날의 발자취는 군생활과 이후 회사생활을 유의미하게 만들어주었고, 지금도 삶의 울림이 되어 끊임없이 저를 발전시키고 있습니다. 앞을 개척하고, 즐거운 도전을 지속하고, 어려움 속에서 피어나는 근성으로, 많은 업적과 성과에 이바지하기 위해 노력할 것입니다.",573
BA1210,CORP01-202517-Q1,"끊임없이 현재를 점검하고, 어려움을 마주쳐도 새롭고 악착스럽게 목표를 완수합니다.
IT 업계의 엔지니어가 되기 위해 군 간부 시절부터 취업자 교육, 세미나 등 여러 방법을 통해 업계 지식을 쌓았습니다. 전역 후 취업반을 통해 IT 업계를 위한 기반을 다졌고, 메가존에 입사하여 Cloud 환경 및 서버 개발에 입문했습니다. 틈틈이 취업자 교육을 통해 엔지니어가 되기 위해 노력했습니다.
마침내 미라콤아이앤씨 개발직군으로 채용되었고, 선배님들과 동료의 도움을 받아 3년간 Java, C#, SQL 등 프로그래밍에 필요한 기술을 향상시켰습니다. 1년마다 다양한 시스템을 개발 및 운영했고, BI 시스템인 STAR를 통해 프로그래밍 기술 뿐만 아니라 데이터 분석에 대한 인사이트를 얻었습니다. 이 때, 적성에 대해 더욱 고민하게 되었고 데이터 과학에 눈을 뜨며 더욱 성장할 수 있는 계기를 마련했습니다. 대시보드나 비정형 레포트를 만드는 업무를 넘어, 직접 분석을 진행하고 싶었습니다. 데이터 과학과 프로그래밍을 병행하며 부족한 점을 점검하고, 업무를 충실히 수행하고자 역량을 투자하며 성장해나갔습니다. 과정이 쉽지 않았으나, 꾸준한 노력과 협업을 통해 나아갔습니다.
대학원에 진학 후에도 데이터 사이언티스트가 되기 위한 노력은 계속되었습니다. 연구와 프로젝트를 위해 모든 역량을 집중했고, 독학할 때와는 전혀 다른 지식을 접하며 성장해나갔습니다. 독학의 한계로 인해 수업과 연구는 꽤 어려운 과업으로 다가왔지만 학업, 취업, 건강한 삶을 비롯한 모든 것을 성공시키리라는 다짐을 끊임없이 되뇌이며 정면으로 맞섰습니다. 비록 많은 시행착오가 있었지만, 항상 그래왔듯 끈기와 협력으로 연구의 성과를 내며 데이터 연구자가 되었습니다. 
끊임없는 노력, 주변과의 소통과 협업을 통해 지속적으로 성장해왔고, 앞으로도 즐거운 협업과 성취를 위해 노력하고자 이 자리에 섰습니다. 맡은 업무에 진지하게 임하는 자세는 향후 일터에서도 좋은 영향력으로서 주변 모두에게 상쾌한 바람이 될 수 있으리라 확신합니다.",1000
BA1210,CORP01-202517-Q2,"최근 겪었던 가장 큰 변화는 대학원 진학과 그 이후 겪은 데이터 과학자로 성장하는 과정이었습니다.
프로그래머 업무 수행 중, 삼성전자의 BI 시스템인 STAR의 운영 및 개발 업무를 담당했습니다. 단순히 DB 내 데이터를 정제하고, 웹 페이지를 통해 비정형 레포트와 대시보드를 제공하던 수준에서, 고객이 바라는 정보를 선제적으로 판단하는 수준이 요구되었습니다. 이는 데이터마이닝을 시작하는 계기가 되었고, 빅데이터 분야에 흥미와 적성을 느꼈습니다. 
하지만, 3년에 달하는 프로그래밍 경력이 있었기에 분야를 옮기는 것은 두려움으로 다가왔습니다. 이를 이겨내기 위해 프로그래밍에 대한 회고, 인공지능에 대한 독학을 하며 미래의 본업을 선택하는 과정을 겪었습니다.
대학원 진학 후, 수준 높은 지식을 요하는 수업과 연구로 인해, 괴리감을 느꼈습니다. 하지만, 꾸준히 시간을 투자하여 기술을 쌓고 역량을 키워올렸고, 그럼에도 부족하다는 생각이 들 때는 동료와 교수님의 조언을 구했습니다. 어느덧, 누군가와 협업할 수 있는 수준에 닿았고, 연구를 완성시켜 석사 학위라는 성과를 얻었습니다.
새로운 변화에 대처하는 방법은 다양합니다. 어떤 이들은 효율적으로 문제를 개선할 수 있지만, 제게는 항상 꾸준한 노력과 주변과의 협력이 가장 좋은 답으로서 다가왔습니다. 앞으로 한화에어로스페이스에서 비슷한 문제와 변화를 마주하더라도, 이제까지 그래왔듯 끈기와 소통을 통",700
BA1210,CORP01-202517-Q3,"어려움을 마주쳐도 차분히 자신의 부족함을 객관적으로 살피고, 새로운 방식으로 목표를 완수합니다.
대학교 재학 당시, 학교 내 통상적으로 수행되는 졸업 프로젝트는 ARM Processer나 MSP 기반의 Microcontroller 과제가 주를 이루고 있었습니다. 평소 로봇공학이나 Embaded에 관심이 깊어, 서울 내 다른 학교의 Raspberry pi 프로젝트를 보고, 과제를 색다른 방식으로 수행하고 싶다는 생각을 했습니다. 기존 Chipset에 비해 접근성이 좋기에, 결과물의 독창성과 개인적인 흥미에 더욱 집중할 수 있을 것으로 기대되었습니다. 하지만 학과 내에 전해져 내려오는 기술을 사용하지 않는다는 점에서 조원들은 거부감을 표했고, MSP 기반의 Embaded 과제를 수행하게 되었습니다.
하지만 포기하지 않고, 여러 학술 연구와 졸업작품 사례를 조사하며 실험을 구상했습니다. 학과 내 칩셋 구성이 아닌, 다른 대학 사례를 보며 Raspberry pi와 파이썬 기반의 다중 센서 RC카를 구상했습니다. 구상 초반에도 조원들은 검증되지 않은 방식과 새로운 기술에 거부감을 표했지만, 시간이 지나 독학으로 반 이상 완성한 RC카를 조원들에게 보여주며 설득했습니다. 적지 않은 시간동안 진척이 되지 않은 MSP 프로젝트보다 다양한 기능을 탑재하며 성장하는 Raspberry pi 프로젝트는 팀원들을 설득하기에 충분했습니다. 동료들이 선택을 주",700
BA1210,CORP01-202518-Q1,"끊임없이 현재를 점검하고, 어려움을 마주쳐도 새롭고 악착스럽게 목표를 완수합니다.
IT 업계의 엔지니어가 되기 위해 군 간부 시절부터 취업자 교육, 세미나 등 여러 방법을 통해 업계 지식을 쌓았습니다. 전역 후 취업반을 통해 IT 업계를 위한 기반을 다졌고, 메가존에 입사하여 Cloud 환경 및 서버 개발에 입문했습니다. 틈틈이 취업자 교육을 통해 엔지니어가 되기 위해 노력했습니다.
마침내 미라콤아이앤씨 개발직군으로 채용되었고, 선배님들과 동료의 도움을 받아 3년간 Java, C#, SQL 등 프로그래밍에 필요한 기술을 향상시켰습니다. 1년마다 다양한 시스템을 개발 및 운영했고, BI 시스템인 STAR를 통해 프로그래밍 기술 뿐만 아니라 데이터 분석에 대한 인사이트를 얻었습니다. 이 때, 적성에 대해 더욱 고민하게 되었고 데이터 과학에 눈을 뜨며 더욱 성장할 수 있는 계기를 마련했습니다. 대시보드나 비정형 레포트를 만드는 업무를 넘어, 직접 분석을 진행하고 싶었습니다. 데이터 과학과 프로그래밍을 병행하며 부족한 점을 점검하고, 업무를 충실히 수행하고자 역량을 투자하며 성장해나갔습니다. 과정이 쉽지 않았으나, 꾸준한 노력과 협업을 통해 나아갔습니다.
대학원에 진학 후에도 데이터 사이언티스트가 되기 위한 노력은 계속되었습니다. 연구와 프로젝트를 위해 모든 역량을 집중했고, 독학할 때와는 전혀 다른 지식을 접하며 성장해나갔습니다. 독학의 한계로 인해 수업과 연구는 꽤 어려운 과업으로 다가왔지만 학업, 취업, 건강한 삶을 비롯한 모든 것을 성공시키리라는 다짐을 끊임없이 되뇌이며 정면으로 맞섰습니다. 비록 많은 시행착오가 있었지만, 항상 그래왔듯 끈기와 협력으로 연구의 성과를 내며 데이터 연구자가 되었습니다. 
끊임없는 노력, 주변과의 소통과 협업을 통해 지속적으로 성장해왔고, 앞으로도 즐거운 협업과 성취를 위해 노력하고자 이 자리에 섰습니다. 맡은 업무에 진지하게 임하는 자세는 향후 일터에서도 좋은 영향력으로서 주변 모두에게 상쾌한 바람이 될 수 있으리라 확신합니다.",1000
BA1210,CORP01-202518-Q2,"어려움을 마주쳐도 차분히 자신의 부족함을 객관적으로 살피고, 새로운 방식으로 목표를 완수합니다.
대학교 재학 당시, 학교 내 통상적으로 수행되는 졸업 프로젝트는 ARM Processer나 MSP 기반의 Microcontroller 과제가 주를 이루고 있었습니다. 평소 로봇공학이나 Embaded에 관심이 깊어, 서울 내 다른 학교의 Raspberry pi 프로젝트를 보고, 과제를 색다른 방식으로 수행하고 싶다는 생각을 했습니다. 기존 Chipset에 비해 접근성이 좋기에, 결과물의 독창성과 개인적인 흥미에 더욱 집중할 수 있을 것으로 기대되었습니다. 하지만 학과 내에 전해져 내려오는 기술을 사용하지 않는다는 점에서 조원들은 거부감을 표했고, MSP 기반의 Embaded 과제를 수행하게 되었습니다.
하지만 포기하지 않고, 여러 학술 연구와 졸업작품 사례를 조사하며 실험을 구상했습니다. 학과 내 칩셋 구성이 아닌, 다른 대학 사례를 보며 Raspberry pi와 파이썬 기반의 다중 센서 RC카를 구상했습니다. 구상 초반에도 조원들은 검증되지 않은 방식과 새로운 기술에 거부감을 표했지만, 시간이 지나 독학으로 반 이상 완성한 RC카를 조원들에게 보여주며 설득했습니다. 적지 않은 시간동안 진척이 되지 않은 MSP 프로젝트보다 다양한 기능을 탑재하며 성장하는 Raspberry pi 프로젝트는 팀원들을 설득하기에 충분했습니다. 동료들이 선택을 주",573
BA1210,CORP01-202518-Q3,"벅차도록 높아보이는 목표를 향해 한걸음 한걸음 나아간 적이 있습니까?
장교 후보생 시절, 동기들에게는 가능하지만 저에겐 불가능하다 평가받던 임관을 위해 끈질기게 노력했습니다. 체중 120 Kg에 무른 성격이라는, 장교라는 이름과 맞지 않는 이미지를 갖고 있었습니다. 동기들과 교관들은 이러한 이미지를 좋아하지 않았고, 해내지 못할 것이라 여겼습니다. 체력적으로 결점을 보여 임관에 어려움이 따랐고, 단장님은 군인 생활이 맞지 않으니 포기를 권하기도 했습니다.
남의 이야기에 자신을 맞추고 싶지 않았기에, 포기하지 않았습니다. 임관뿐만 아닌, 자신에 대한 혁신과 변화를 목표로 두었습니다. 훈련을 개근하고, 밤을 새워 공부를 했습니다. 끊임없는 노력을 결과로, 임관에 성공했습니다. 그와 더불어, 마음 속에는 “나도 무엇이든 할 수 있다.”는 확신을 가질 수 있었습니다.
이날의 발자취는 군생활과 이후 회사생활을 유의미하게 만들어주었고, 지금도 삶의 울림이 되어 끊임없이 저를 발전시키고 있습니다. 앞을 개척하고, 즐거운 도전을 지속하고, 어려움 속에서 피어나는 근성으로, 많은 업적과 성과에 이바지하기 위해 노력할 것입니다.",700
CMT8057,CORP01-202519-Q1,"끊임없이 현재를 점검하고, 어려움을 마주쳐도 새롭고 악착스럽게 목표를 완수합니다.
IT 업계의 엔지니어가 되기 위해 군 간부 시절부터 취업자 교육, 세미나 등 여러 방법을 통해 업계 지식을 쌓았습니다. 전역 후 취업반을 통해 IT 업계를 위한 기반을 다졌고, 메가존에 입사하여 Cloud 환경 및 서버 개발에 입문했습니다. 틈틈이 취업자 교육을 통해 엔지니어가 되기 위해 노력했습니다.
마침내 미라콤아이앤씨 개발직군으로 채용되었고, 선배님들과 동료의 도움을 받아 3년간 Java, C#, SQL 등 프로그래밍에 필요한 기술을 향상시켰습니다. 1년마다 다양한 시스템을 개발 및 운영했고, BI 시스템인 STAR를 통해 프로그래밍 기술 뿐만 아니라 데이터 분석에 대한 인사이트를 얻었습니다. 이 때, 적성에 대해 더욱 고민하게 되었고 데이터 과학에 눈을 뜨며 더욱 성장할 수 있는 계기를 마련했습니다. 대시보드나 비정형 레포트를 만드는 업무를 넘어, 직접 분석을 진행하고 싶었습니다. 데이터 과학과 프로그래밍을 병행하며 부족한 점을 점검하고, 업무를 충실히 수행하고자 역량을 투자하며 성장해나갔습니다. 과정이 쉽지 않았으나, 꾸준한 노력과 협업을 통해 나아갔습니다.
대학원에 진학 후에도 데이터 사이언티스트가 되기 위한 노력은 계속되었습니다. 연구와 프로젝트를 위해 모든 역량을 집중했고, 독학할 때와는 전혀 다른 지식을 접하며 성장해나갔습니다. 독학의 한계로 인해 수업과 연구는 꽤 어려운 과업으로 다가왔지만 학업, 취업, 건강한 삶을 비롯한 모든 것을 성공시키리라는 다짐을 끊임없이 되뇌이며 정면으로 맞섰습니다. 비록 많은 시행착오가 있었지만, 항상 그래왔듯 끈기와 협력으로 연구의 성과를 내며 데이터 연구자가 되었습니다. 
끊임없는 노력, 주변과의 소통과 협업을 통해 지속적으로 성장해왔고, 앞으로도 즐거운 협업과 성취를 위해 노력하고자 이 자리에 섰습니다. 맡은 업무에 진지하게 임하는 자세는 향후 일터에서도 좋은 영향력으로서 주변 모두에게 상쾌한 바람이 될 수 있으리라 확신합니다.",1000
CMT8057,CORP01-202519-Q2,"업무를 성과로 승화시키기 위해 끊임없이 자신의 방식을 점검하고, 주변과 협업합니다.
주식회사 더존비즈온의 개발 환경은 자체 개발 플랫폼을 기반으로 구축되어 있어, 플랫폼 이해도가 높으면 개발 편의성을 끌어올려 신속한 개발을 수행할 수 있었습니다. 하지만, 그 것이 장벽으로 작용하는 경우도 많았습니다. 이는 ERP와 MES 구축 업무에서 작지 않은 어려움으로 작용했습니다. 입사 직후, MES 솔루션과 플랫폼에 대한 전반적인 지식이 부족했기에, 고객사에 대한 분석/컨설팅/설계/개발 등 전반적인 분야에서 많은 어려움을 겪었습니다.
초기에는 개발 외 업무를 수행하는 것을 이해할 수 없었으나, 고객사의 첨예한 산업구조를 바라보며 개발 이외의 다른 관점에서의 접근이 필요함을 느끼게 되었습니다. 프로젝트 수행 업무로부터 부족한 점을 점검하고, 개발 플랫폼과 솔루션에 대한 지식 수준을 높이기 위해, 개인 시간을 투자하여 능력을 키웠습니다. 비록 과정이 쉽지 않았으나, 고객사와 사내 선임들에게 지속적으로 질문하며 지식을 쌓았습니다. 선임들, 주변 동료들과의 협업을 바탕으로 분석 및 컨설팅까지 완료했을 때, 비로소 개발 업무를 위한 사전 작업의 의미를 깨닫게 되었습니다. 이후로도 프로젝트에 대한 FIT GAP 분석과 솔루션에 대한 개선작업을 병향하여 능률적인 업무를 수행했습니다.
이처럼 끈기있게 배워나가고, 자신의 방향을 만들고, 주변과 협업하는 자세는 업무를 지속적으로 수행하는 데에 있어 긍정적인 효과를 불러일으켰고, 4년간의 성장을 통해 Junior Engineer에 맞는 역량을 갖출 수 있는 최고의 경쟁력임을 확신합니다.",800
CMT8057,CORP01-202519-Q3,"최근 겪었던 가장 큰 변화는 대학원 진학과 그 이후 겪은 데이터 과학자로 성장하는 과정이었습니다.
프로그래머 업무 수행 중, 삼성전자의 BI 시스템인 STAR의 운영 및 개발 업무를 담당했습니다. 단순히 DB 내 데이터를 정제하고, 웹 페이지를 통해 비정형 레포트와 대시보드를 제공하던 수준에서, 고객이 바라는 정보를 선제적으로 판단하는 수준이 요구되었습니다. 이는 데이터마이닝을 시작하는 계기가 되었고, 빅데이터 분야에 흥미와 적성을 느꼈습니다. 
하지만, 3년에 달하는 프로그래밍 경력이 있었기에 분야를 옮기는 것은 두려움으로 다가왔습니다. 이를 이겨내기 위해 프로그래밍에 대한 회고, 인공지능에 대한 독학을 하며 미래의 본업을 선택하는 과정을 겪었습니다.
대학원 진학 후, 수준 높은 지식을 요하는 수업과 연구로 인해, 괴리감을 느꼈습니다. 하지만, 꾸준히 시간을 투자하여 기술을 쌓고 역량을 키워올렸고, 그럼에도 부족하다는 생각이 들 때는 동료와 교수님의 조언을 구했습니다. 어느덧, 누군가와 협업할 수 있는 수준에 닿았고, 연구를 완성시켜 석사 학위라는 성과를 얻었습니다.
새로운 변화에 대처하는 방법은 다양합니다. 어떤 이들은 효율적으로 문제를 개선할 수 있지만, 제게는 항상 꾸준한 노력과 주변과의 협력이 가장 좋은 답으로서 다가왔습니다. 앞으로 한화에어로스페이스에서 비슷한 문제와 변화를 마주하더라도, 이제까지 그래왔듯 끈기와 소통을 통",700
